M;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
16.2;0.03158688545227051;7.964318037033081;0.03125;5.006790161132812e-06;0.0209190845489502;138.342756986618
16.3;0.03096914291381836;7.937169075012207;0.0316460132598877;5.960464477539062e-06;0.02075290679931641;139.0684449672699
16.4;0.03108382225036621;8.139477014541626;0.03243398666381836;6.198883056640625e-06;0.02138900756835938;140.201534986496
16.5;0.03178191184997559;8.113327980041504;0.03150701522827148;5.006790161132812e-06;0.02105498313903809;140.7896621227264
16.6;0.03254389762878418;8.243167161941528;0.03231501579284668;5.006790161132812e-06;0.02170205116271973;142.5916740894318
16.7;0.03226709365844727;8.311962127685547;0.03266811370849609;6.198883056640625e-06;0.02124786376953125;143.3878118991852
16.8;0.03269600868225098;8.361782073974609;0.03199195861816406;5.006790161132812e-06;0.02123403549194336;143.9688889980316
16.9;0.031829833984375;8.377284049987793;0.0326380729675293;5.960464477539062e-06;0.02103209495544434;144.4634189605713
17;0.03331995010375977;8.383975028991699;0.0325629711151123;5.960464477539062e-06;0.02209782600402832;145.5687940120697
17.1;0.03994202613830566;8.529670000076294;0.03307414054870605;5.960464477539062e-06;0.02159380912780762;148.4254860877991
17.2;0.03802990913391113;8.595109939575195;0.03277182579040527;5.960464477539062e-06;0.0217440128326416;148.3057208061218
17.3;0.03745579719543457;8.562411785125732;0.03260993957519531;5.960464477539062e-06;0.0216209888458252;147.2960679531097
17.4;0.03934407234191895;8.721478939056396;0.03267002105712891;5.006790161132812e-06;0.02160286903381348;150.1057279109955
17.5;0.03801417350769043;8.729883909225464;0.03231501579284668;5.006790161132812e-06;0.02198290824890137;150.1539089679718
17.6;0.03828096389770508;8.790991067886353;0.03265595436096191;5.960464477539062e-06;0.02187681198120117;150.5218598842621
17.7;0.03893089294433594;8.76665997505188;0.03286290168762207;5.006790161132812e-06;0.02161502838134766;151.9700901508331
17.8;0.03819799423217773;8.807394981384277;0.0330040454864502;5.006790161132812e-06;0.02163481712341309;152.4543030261993
17.9;0.03837394714355469;8.980790138244629;0.0333549976348877;5.960464477539062e-06;0.02184200286865234;153.7838261127472
18;0.03980398178100586;9.148566007614136;0.03387093544006348;5.960464477539062e-06;0.02295899391174316;157.0425710678101
18.1;0.03834295272827148;9.060166120529175;0.03340315818786621;4.76837158203125e-06;0.02181005477905273;155.5887739658356
18.2;0.03795599937438965;9.095871925354004;0.03289294242858887;5.006790161132812e-06;0.02211689949035645;156.0947930812836
18.3;0.03809809684753418;9.09244704246521;0.03327488899230957;5.960464477539062e-06;0.02161884307861328;156.5944061279297
18.4;0.03876709938049316;9.371645927429199;0.03349900245666504;5.960464477539062e-06;0.02197790145874023;158.2725529670715
18.5;0.03882503509521484;9.276949882507324;0.03397107124328613;6.198883056640625e-06;0.02182388305664062;159.1156551837921
18.6;0.03909993171691895;9.43583607673645;0.0339360237121582;5.006790161132812e-06;0.02246308326721191;160.7263188362122
18.7;0.03877496719360352;9.469199895858765;0.03458285331726074;6.198883056640625e-06;0.02218103408813477;161.6630680561066
18.8;0.03952789306640625;9.568434000015259;0.03418207168579102;5.960464477539062e-06;0.0224919319152832;161.7299959659576
18.9;0.03798294067382812;9.540287971496582;0.03372597694396973;7.152557373046875e-06;0.02227401733398438;162.8710851669312
19;0.03992009162902832;9.581198930740356;0.03447890281677246;4.76837158203125e-06;0.02274107933044434;164.5956370830536
19.1;0.03781795501708984;9.767681121826172;0.03512001037597656;5.960464477539062e-06;0.02257108688354492;164.7172651290894
19.2;0.03743195533752441;9.835470914840698;0.0343480110168457;7.867813110351562e-06;0.02261209487915039;168.8950679302216
19.3;0.03627705574035645;9.759789943695068;0.03500699996948242;5.006790161132812e-06;0.02214694023132324;167.774906873703
19.4;0.0369560718536377;9.84763503074646;0.03470587730407715;6.198883056640625e-06;0.02219390869140625;166.1675968170166
19.5;0.03836822509765625;9.889860868453979;0.03426814079284668;5.960464477539062e-06;0.02235794067382812;171.0365180969238
19.6;0.03695011138916016;9.958416223526001;0.03440999984741211;5.960464477539062e-06;0.02310490608215332;168.1909718513489
19.7;0.03558516502380371;9.951606035232544;0.03478193283081055;5.960464477539062e-06;0.02227282524108887;166.8362939357758
19.8;0.03695893287658691;10.01579403877258;0.03441715240478516;8.106231689453125e-06;0.02219581604003906;167.0572071075439
19.9;0.03744912147521973;10.21396088600159;0.03520584106445312;5.960464477539062e-06;0.02267909049987793;176.5513799190521
20;0.0364680290222168;10.36509299278259;0.03562092781066895;5.960464477539062e-06;0.02360796928405762;168.7789719104767
